Rank	Gene_Alias	Ensembl_id	Entrez_id	GO_terms	Description
1	HsT2651 PALB TBPA TTR 	ENSG00000118271 	7276 	phototransduction, visible light : retinoid metabolic process : retinol metabolic process : extracellular matrix organization : protein complex : extracellular space : extracellular region : cytoplasm : transport : 	transthyretin 
2	bA416N4.2 dJ1068F16.2 FLJ23079 RIC-4 RIC4 SEC9 SNAP SNAP-25 SNAP25 	ENSG00000132639 	6616 	neurotransmitter uptake : synaptic vesicle docking involved in exocytosis : energy reserve metabolic process : regulation of insulin secretion : glutamate secretion : neurotransmitter secretion : vesicle-mediated transport : BLOC-1 complex : synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex : SNARE complex : growth cone : neuron projection : synapse : trans-Golgi network : cell junction : perinuclear region of cytoplasm : membrane : cytoplasm : plasma membrane : synaptic transmission : small molecule metabolic process : 	synaptosomal-associated protein, 25kDa 
3	GNG3 	ENSG00000162188 	2785 	energy reserve metabolic process : GTP catabolic process : cellular response to glucagon stimulus : activation of MAPK activity : positive regulation of cytosolic calcium ion concentration : heterotrimeric G-protein complex : plasma membrane : G-protein coupled receptor signaling pathway : synaptic transmission : small molecule metabolic process : 	guanine nucleotide binding protein (G protein), gamma 3 
4	ATP5J2 ATP5JL 	ENSG00000241468 	9551 	proton transport : mitochondrial ATP synthesis coupled proton transport : cellular metabolic process : respiratory electron transport chain : ATP catabolic process : mitochondrial proton-transporting ATP synthase complex : proton-transporting ATP synthase complex, coupling factor F(o) : mitochondrial inner membrane : integral component of membrane : mitochondrion : small molecule metabolic process : 	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 
5	921-L CPLX2 CPX-2 CPX2 Hfb1 MGC138492 	ENSG00000145920 	10814 	mast cell degranulation : positive regulation of synaptic plasticity : synaptic vesicle exocytosis : vesicle docking involved in exocytosis : neurotransmitter transport : nervous system development : SNARE complex : synapse : dendrite : neuronal cell body : cytosol : synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex : cell differentiation : 	complexin 2 
6	APLP APLP1 	ENSG00000105290 	333 	mRNA polyadenylation : forebrain development : extracellular matrix organization : regulation of translation : Golgi apparatus : membrane : integral component of membrane : cellular response to norepinephrine stimulus : negative regulation of cAMP biosynthetic process : endocytosis : organ morphogenesis : adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway : nervous system development : basement membrane : perinuclear region of cytoplasm : plasma membrane : apoptotic process : cell adhesion : 	amyloid beta (A4) precursor-like protein 1 
7	SCG10 SCGN10 SGC10 STMN2 	ENSG00000104435 	11075 	positive regulation of microtubule depolymerization : positive regulation of neuron projection development : regulation of microtubule polymerization or depolymerization : negative regulation of neuron projection development : negative regulation of microtubule depolymerization : neuron differentiation : negative regulation of microtubule polymerization : vesicle : endosome : growth cone : Golgi apparatus : perinuclear region of cytoplasm : membrane : axon : 	stathmin-like 2 
8	RPS25 	ENSG00000118181 	6230 	viral transcription : translational termination : nuclear-transcribed mRNA catabolic process, nonsense-mediated decay : translational initiation : viral life cycle : translational elongation : SRP-dependent cotranslational protein targeting to membrane : mRNA metabolic process : RNA metabolic process : viral process : ribosomal small subunit assembly : small ribosomal subunit : ribosome : cytosolic small ribosomal subunit : nucleolus : cytosol : cytoplasm : translation : gene expression : cellular protein metabolic process : 	ribosomal protein S25 
9	AXT CNTN2 DKFZp781D102 FLJ42746 MGC157722 TAG-1 TAX TAX1 	ENSG00000184144 	6900 	establishment of protein localization to juxtaparanode region of axon : positive regulation of adenosine receptor signaling pathway : clustering of voltage-gated potassium channels : regulation of axon diameter : cerebral cortex GABAergic interneuron migration : regulation of astrocyte differentiation : receptor internalization : axonal fasciculation : regulation of neuronal synaptic plasticity : positive regulation of protein processing : microtubule cytoskeleton organization : central nervous system myelination : learning : cellular protein localization : negative regulation of neuron differentiation : adult walking behavior : neuron migration : regulation of cell morphogenesis involved in differentiation : protein localization to juxtaparanode region of axon : neuron projection development : juxtaparanode region of axon : anchored component of membrane : myelin sheath : node of Ranvier : synapse : neuronal cell body : cell surface : voltage-gated potassium channel complex : integral component of plasma membrane : plasma membrane : neuron projection : axon : cell adhesion : axon guidance : 	contactin 2 (axonal) 
10	CNSA2 EEN-B1 FLJ20276 FLJ25015 SH3D2A SH3GL2 SH3P4 	ENSG00000107295 	6456 	neurotrophin TRK receptor signaling pathway : antigen processing and presentation of exogenous peptide antigen via MHC class II : negative regulation of epidermal growth factor receptor signaling pathway : regulation of receptor internalization : epidermal growth factor receptor signaling pathway : post-Golgi vesicle-mediated transport : synaptic vesicle endocytosis : central nervous system development : clathrin-coated endocytic vesicle membrane : Golgi membrane : cytosol : cytoplasm : plasma membrane : signal transduction : axon guidance : 	SH3-domain GRB2-like 2 
11	AAG4 APOJ CLI CLU KUB1 MGC24903 SGP-2 SGP2 SP-40 TRPM-2 TRPM2 	ENSG00000120885 	1191 	negative regulation of protein homooligomerization : response to misfolded protein : negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage : positive regulation of intrinsic apoptotic signaling pathway : reverse cholesterol transport : chaperone-mediated protein folding : platelet degranulation : positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process : protein stabilization : cell death : intrinsic apoptotic signaling pathway : positive regulation of NF-kappaB transcription factor activity : release of cytochrome c from mitochondria : positive regulation of proteasomal ubiquitin-dependent protein catabolic process : platelet activation : lipid metabolic process : response to virus : complement activation, classical pathway : complement activation : chromaffin granule : spherical high-density lipoprotein particle : platelet alpha granule lumen : mitochondrial membrane : extracellular matrix : endoplasmic reticulum : extracellular space : perinuclear region of cytoplasm : cytosol : mitochondrion : extracellular region : nucleus : blood coagulation : positive regulation of apoptotic process : innate immune response : 	clusterin 
12	KIAA0883 MA2 MM2 PNMA2 RGAG2 	ENSG00000240694 	10687 	nucleolus : apoptotic process : 	paraneoplastic antigen MA2 
13	bA506K6.1 DKFZp566F223 MGC8685 RP11-506K6.1 TUBB-PARALOG TUBB2B 	ENSG00000137285 	347733 	GTP catabolic process : 'de novo' posttranslational protein folding : protein polymerization : microtubule-based process : protein folding : neuron migration : protein complex : microtubule cytoskeleton : microtubule : cytoplasm : plasma membrane : cellular protein metabolic process : 	tubulin, beta 2B 
14	PCP4 PEP-19 	ENSG00000183036 	5121 	central nervous system development : cytosol : nucleus : 	Purkinje cell protein 4 
15	EEF1A2 EEF1AL EF-1-alpha-2 EF1A HS1 STN 	ENSG00000101210 	1917 	translational elongation : response to inorganic substance : eukaryotic translation elongation factor 1 complex : neuronal cell body : cytoplasm : nucleus : positive regulation of execution phase of apoptosis : negative regulation of apoptotic process : 	eukaryotic translation elongation factor 1 alpha 2 
16	PARK5 PGP9.5 Uch-L1 UCHL1 	ENSG00000154277 	7345 	muscle fiber development : axon transport of mitochondrion : axon target recognition : neuromuscular process : eating behavior : sensory perception of pain : response to stress : adult walking behavior : ubiquitin-dependent protein catabolic process : neuronal cell body : intracellular : cytosol : axon : negative regulation of MAP kinase activity : protein deubiquitination : cell death : endoplasmic reticulum membrane : cytoplasm : plasma membrane : nucleus : response to ischemia : axonogenesis : cell proliferation : 	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase) 
17	BR-STL-1 BRSTL1 DJ388M5.3 hBR-STL-1 MGC40032 NST SULT4A1 SULTX3 	ENSG00000130540 	25830 	3'-phosphoadenosine 5'-phosphosulfate metabolic process : steroid metabolic process : xenobiotic metabolic process : sulfur compound metabolic process : cytosol : cytoplasm : small molecule metabolic process : 	sulfotransferase family 4A, member 1 
18	my048 MY0876G05 TCEAL2 	ENSG00000184905 	140597 	nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	transcription elongation factor A (SII)-like 2 
19	ECA4 EJM GABRA1 	ENSG00000022355 	2554 	synaptic transmission, GABAergic : gamma-aminobutyric acid signaling pathway : ion transmembrane transport : chloride channel complex : postsynaptic membrane : cell junction : membrane : integral component of plasma membrane : plasma membrane : integral component of membrane : transport : ion transport : synaptic transmission : transmembrane transport : 	gamma-aminobutyric acid (GABA) A receptor, alpha 1 
20	CNSA3 EEN-2B-L3 EEN-B2 HsT19371 SH3D2C SH3GL3 SH3P13 	ENSG00000140600 	6457 	endocytosis : central nervous system development : early endosome membrane : cytoplasm : signal transduction : 	SH3-domain GRB2-like 3 
21	bK250D10.3 MGC133218 SEP3 SEPT3 	ENSG00000100167 	55964 	cell cycle : cytokinesis : synapse : septin complex : cell junction : 	septin 3 
22	C16orf45 FLJ32618 	ENSG00000166780 	89927 	Unavailable	chromosome 16 open reading frame 45 
23	MLC1SA MYL6B 	ENSG00000196465 	140465 	muscle filament sliding : muscle contraction : skeletal muscle tissue development : muscle myosin complex : unconventional myosin complex : myosin complex : cytosol : 	myosin, light chain 6B, alkali, smooth muscle and non-muscle 
24	AP180 CALM DKFZp781O0519 KIAA0656 SNAP91 	ENSG00000065609 	9892 	clathrin coat assembly : clathrin coat : coated pit : plasma membrane : protein transport : 	synaptosomal-associated protein, 91kDa homolog (mouse) 
25	CANP3 CANPL3 CAPN3 LGMD2 LGMD2A MGC10767 MGC11121 MGC14344 MGC4403 nCL-1 p94 	ENSG00000092529 	825 	self proteolysis : muscle structure development : myofibril assembly : cellular response to salt stress : G1 to G0 transition involved in cell differentiation : regulation of myoblast differentiation : autolysis : response to muscle activity : positive regulation of proteolysis : positive regulation of release of sequestered calcium ion into cytosol : negative regulation of protein sumoylation : regulation of I-kappaB kinase/NF-kappaB signaling : sarcomere organization : response to calcium ion : positive regulation of satellite cell activation involved in skeletal muscle regeneration : positive regulation of NF-kappaB transcription factor activity : regulation of catalytic activity : muscle cell cellular homeostasis : protein complex assembly : cellular response to calcium ion : muscle organ development : protein localization to membrane : myofibril : Z disc : protein complex : T-tubule : intracellular : cytosol : cytoplasm : plasma membrane : nucleus : apoptotic process : signal transduction : proteolysis : negative regulation of apoptotic process : positive regulation of transcription, DNA-templated : negative regulation of transcription, DNA-templated : 	calpain 3, (p94) 
26	RAP2IP RPIP8 RUNDC3A 	ENSG00000108309 	10900 	positive regulation of cGMP biosynthetic process : positive regulation of guanylate cyclase activity : cytosol : plasma membrane : small GTPase mediated signal transduction : 	RUN domain containing 3A 
27	TCEAL5 	ENSG00000204065 	340543 	nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	transcription elongation factor A (SII)-like 5 
