Symbol	Description	Score	Synonyms	GO annotations	Links
SMPD4 	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) [Source:HGNC Symbol;Acc:32949]	94.29	ENSG00000136699;ENSP00000259217;ENSP00000339721;ENSP00000386531;ENSP00000387762;ENSP00000391896;ENSP00000393791;ENSP00000394313;ENSP00000397078;ENSP00000397278;ENSP00000397479;ENSP00000401648;ENSP00000403002;ENSP00000403915;ENSP00000405187;ENSP00000405363;ENSP00000406325;ENSP00000406458;ENSP00000407591;ENSP00000416208;55627;SMPD4;NP_001164554;NP_060221;NP_060421;NM_001171083;NM_017751;NM_017951;FLJ20297;FLJ20756;KIAA1418;NET13;nSMase-3;NSMASE3;NSMA3_HUMAN;Q9NXE4;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55627
KLC1 	kinesin light chain 1 [Source:HGNC Symbol;Acc:6387]	93.95	ENSG00000126214;ENSP00000246489;ENSP00000334523;ENSP00000334618;ENSP00000341154;ENSP00000369377;ENSP00000374394;ENSP00000412693;ENSP00000414982;ENSP00000441347;ENSP00000442554;ENSP00000450616;ENSP00000450617;ENSP00000450648;ENSP00000450786;ENSP00000451242;ENSP00000451691;ENSP00000451732;ENSP00000452095;ENSP00000452167;ENSP00000452481;ENSP00000452487;KLC1;NP_001123579;NP_005543;NP_891553;NM_001130107;NM_005552;NM_182923;hKLC1B;hKLC1G;hKLC1J;hKLC1N;hKLC1P;hKLC1R;hKLC1S;KLC;KNS2;KNS2A;KLC1_HUMAN;Q07866;	macromolecular complex disassembly	http://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000126214
H3F3A 	H3 histone, family 3A [Source:HGNC Symbol;Acc:4764]	91.63	ENSG00000163041;ENSP00000355778;ENSP00000355779;ENSP00000355780;ENSP00000355781;3020;H3F3A;NP_002098;NM_002107;H3.3A;H3F3;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3020
DDX39B 	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:13917]	89.07	ENSG00000198563;ENSG00000215425;ENSG00000225073;ENSG00000225859;ENSG00000229496;ENSG00000230624;ENSG00000235439;ENSG00000237889;ENSP00000365347;ENSP00000373000;ENSP00000379475;ENSP00000383149;ENSP00000383151;ENSP00000383152;ENSP00000387452;ENSP00000387994;ENSP00000388243;ENSP00000388382;ENSP00000388776;ENSP00000388880;ENSP00000389350;ENSP00000390562;ENSP00000390999;ENSP00000391070;ENSP00000391335;ENSP00000391441;ENSP00000391463;ENSP00000391480;ENSP00000391580;ENSP00000391946;ENSP00000392644;ENSP00000392669;ENSP00000392672;ENSP00000392819;ENSP00000392922;ENSP00000393172;ENSP00000393650;ENSP00000393712;ENSP00000393984;ENSP00000394160;ENSP00000394329;ENSP00000394491;ENSP00000394963;ENSP00000395058;ENSP00000395105;ENSP00000395618;ENSP00000395671;ENSP00000396021;ENSP00000396559;ENSP00000396623;ENSP00000396811;ENSP00000396885;ENSP00000396930;ENSP00000397591;ENSP00000398190;ENSP00000398274;ENSP00000398492;ENSP00000398775;ENSP00000398978;ENSP00000399030;ENSP00000399371;ENSP00000399542;ENSP00000399659;ENSP00000399841;ENSP00000400326;ENSP00000400328;ENSP00000400556;ENSP00000402876;ENSP00000402942;ENSP00000403358;ENSP00000403593;ENSP00000404228;ENSP00000404695;ENSP00000404735;ENSP00000405245;ENSP00000405374;ENSP00000405386;ENSP00000405489;ENSP00000405560;ENSP00000405665;ENSP00000405707;ENSP00000405964;ENSP00000406006;ENSP00000406060;ENSP00000406085;ENSP00000406096;ENSP00000406348;ENSP00000406422;ENSP00000406504;ENSP00000406739;ENSP00000407054;ENSP00000407419;ENSP00000407427;ENSP00000407519;ENSP00000407647;ENSP00000408000;ENSP00000408067;ENSP00000408191;ENSP00000408609;ENSP00000408832;ENSP00000408908;ENSP00000409162;ENSP00000409290;ENSP00000409426;ENSP00000409451;ENSP00000409602;ENSP00000409810;ENSP00000409929;ENSP00000410112;ENSP00000410277;ENSP00000410313;ENSP00000410915;ENSP00000411136;ENSP00000411371;ENSP00000411458;ENSP00000411538;ENSP00000411853;ENSP00000411865;ENSP00000411967;ENSP00000412286;ENSP00000412582;ENSP00000412609;ENSP00000413149;ENSP00000413576;ENSP00000413790;ENSP00000413793;ENSP00000413832;ENSP00000414082;ENSP00000414096;ENSP00000414984;ENSP00000415802;ENSP00000416269;ENSP00000416350;ENSP00000416358;ENSP00000416407;ENSP00000416843;ENSP00000431377;ENSP00000431969;ENSP00000432296;ENSP00000433192;ENSP00000433234;ENSP00000434615;ENSP00000434736;ENSP00000436220;ENSP00000437017;ENSP00000446593;ENSP00000447330;ENSP00000447589;ENSP00000448108;ENSP00000448489;ENSP00000448893;ENSP00000449046;ENSP00000449135;ENSP00000449305;ENSP00000449425;ENSP00000449488;ENSP00000450155;ENSP00000450363;692199;7919;DDX39B;NP_004631;NP_542165;NM_004640;NM_080598;BAT1;D6S81E;UAP56;DX39B_HUMAN;Q13838;	ribonucleoprotein complex biogenesis; viral life cycle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=692199
ZMYM6 	zinc finger, MYM-type 6 [Source:HGNC Symbol;Acc:13050]	88.06	ENSG00000163867;ENSG00000271741;ENSP00000326695;ENSP00000349708;ENSP00000362430;ENSP00000362437;ENSP00000391337;ENSP00000421752;9204;ZMYM6;NP_009098;NM_007167;Buster2;KIAA1353;ZNF198L4;ZNF258;O95789;ZMYM6_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9204
ZNF493 	zinc finger protein 493 [Source:HGNC Symbol;Acc:23708]	87.34	ENSG00000196268;ENSP00000340651;ENSP00000347691;ENSP00000376110;ENSP00000469170;ENSP00000469368;ENSP00000469680;ENSP00000472110;284443;ZNF493;NP_001070146;NP_663299;NP_787106;NM_001076678;NM_145326;NM_175910;FLJ36504;Q6ZR52;ZN493_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=284443
UNC119B 	unc-119 homolog B (C. elegans) [Source:HGNC Symbol;Acc:16488]	86.29	ENSG00000175970;ENSP00000344942;84747;UNC119B;NP_001074002;NM_001080533;MGC5139;POC7B;A6NIH7;U119B_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84747
ZNF654 	zinc finger protein 654 [Source:HGNC Symbol;Acc:25612]	84.87	ENSG00000175105;ENSP00000312141;55279;ZNF654;NP_060763;NM_018293;FLJ10997;FLJ21142;Q8IZM8;ZN654_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55279
NBPF10 	neuroblastoma breakpoint family, member 10 [Source:HGNC Symbol;Acc:31992]	83.32	ENSG00000163386;ENSG00000269713;ENSG00000270231;ENSG00000271254;ENSP00000345684;ENSP00000358344;ENSP00000358345;ENSP00000414194;ENSP00000462658;ENSP00000463665;ENSP00000471335;ENSP00000473920;ENSP00000474625;ENSP00000474856;100132406;101929455;NBPF10;NP_001032590;NP_001034792;NP_001264373;NM_001037501;NM_001039703;NM_001277444;AG1;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=100132406
TUBA3C 	tubulin, alpha 3c [Source:HGNC Symbol;Acc:12408]	80.85	ENSG00000198033;ENSP00000382982;7278;TUBA3C;NP_005992;NM_006001;bA408E5.3;TUBA2;	'de novo' posttranslational protein folding; 'de novo' protein folding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7278
