Glutamatergic synapse_Homo sapiens_hsa04724,Cocaine addiction_Homo sapiens_hsa05030,cGMP-PKG signaling pathway_Homo sapiens_hsa04022,Apoptosis_Homo sapiens_hsa04210,Amphetamine addiction_Homo sapiens_hsa05031,Calcium signaling pathway_Homo sapiens_hsa04020,Long-term potentiation_Homo sapiens_hsa04720,Circadian entrainment_Homo sapiens_hsa04713,TNF signaling pathway_Homo sapiens_hsa04668,Oxytocin signaling pathway_Homo sapiens_hsa04921,cAMP signaling pathway_Homo sapiens_hsa04024,Aldosterone synthesis and secretion_Homo sapiens_hsa04925,Platelet activation_Homo sapiens_hsa04611,Insulin resistance_Homo sapiens_hsa04931,Dopaminergic synapse_Homo sapiens_hsa04728,Long-term depression_Homo sapiens_hsa04730,Cholinergic synapse_Homo sapiens_hsa04725,GnRH signaling pathway_Homo sapiens_hsa04912,Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014,Gap junction_Homo sapiens_hsa04540,Alzheimer's disease_Homo sapiens_hsa05010,Glucagon signaling pathway_Homo sapiens_hsa04922,MAPK signaling pathway_Homo sapiens_hsa04010,mTOR signaling pathway_Homo sapiens_hsa04150,Estrogen signaling pathway_Homo sapiens_hsa04915,Huntington's disease_Homo sapiens_hsa05016,Thyroid hormone signaling pathway_Homo sapiens_hsa04919,Neurotrophin signaling pathway_Homo sapiens_hsa04722,Insulin secretion_Homo sapiens_hsa04911,Insulin signaling pathway_Homo sapiens_hsa04910,AMPK signaling pathway_Homo sapiens_hsa04152,Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,Axon guidance_Homo sapiens_hsa04360,Influenza A_Homo sapiens_hsa05164,FoxO signaling pathway_Homo sapiens_hsa04068,Tuberculosis_Homo sapiens_hsa05152,Tight junction_Homo sapiens_hsa04530,Hepatitis B_Homo sapiens_hsa05161,Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,Toll-like receptor signaling pathway_Homo sapiens_hsa04620,Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,Alcoholism_Homo sapiens_hsa05034,Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750,Longevity regulating pathway - mammal_Homo sapiens_hsa04211,Pathways in cancer_Homo sapiens_hsa05200,Type II diabetes mellitus_Homo sapiens_hsa04930,Thyroid hormone synthesis_Homo sapiens_hsa04918,Rap1 signaling pathway_Homo sapiens_hsa04015,NF-kappa B signaling pathway_Homo sapiens_hsa04064,Melanogenesis_Homo sapiens_hsa04916,Adherens junction_Homo sapiens_hsa04520,Sphingolipid signaling pathway_Homo sapiens_hsa04071,Serotonergic synapse_Homo sapiens_hsa04726,Phagosome_Homo sapiens_hsa04145,Wnt signaling pathway_Homo sapiens_hsa04310,Vascular smooth muscle contraction_Homo sapiens_hsa04270,Oocyte meiosis_Homo sapiens_hsa04114,Retrograde endocannabinoid signaling_Homo sapiens_hsa04723,Gastric acid secretion_Homo sapiens_hsa04971,Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120,T cell receptor signaling pathway_Homo sapiens_hsa04660,Adipocytokine signaling pathway_Homo sapiens_hsa04920,ErbB signaling pathway_Homo sapiens_hsa04012,RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622,Pertussis_Homo sapiens_hsa05133,Nicotine addiction_Homo sapiens_hsa05033,Renin secretion_Homo sapiens_hsa04924,Notch signaling pathway_Homo sapiens_hsa04330,NOD-like receptor signaling pathway_Homo sapiens_hsa04621,Malaria_Homo sapiens_hsa05144,Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962,Sulfur metabolism_Homo sapiens_hsa00920
HOMER1,GPSM1,MEF2A,DAXX,CAMK2B,RYR1,CAMK2B,RYR1,MAP2K4,RYR1,CAMK2B,CAMK2B,NOS3,SREBF1,CAMK2B,GNAO1,CAMK2B,MAPK10,PPP3CB,TJP1,NDUFA7,CAMK2B,DUSP4,IKBKB,GNAO1,NDUFA7,NCOA1,MAPK10,CAMK2B,SREBF1,RPTOR,SREBF1,SEMA4A,MAP2K4,MAPK10,CAMK2B,TJP1,MAPK10,MAPK10,MAPK10,CAMK2B,GNAI3,MAPK10,RPTOR,MAP2K2,MAPK10,CREB3,MAP2K2,IKBKB,GNAO1,TJP1,MAPK10,GNAO1,TUBA3D,MAPK10,GNA13,CAMK2B,MAPK10,CAMK2B,MAPK10,IKBKB,MAPK10,MAPK10,MAPK10,MAPK10,GRIN3B,PPP3CB,JAG1,MAPK10,LRP1,CREB3,MPST
TRPC1,GNAI3,MEF2C,MAP2K2,GRIN2B,CAMK2B,MAP2K2,CAMK2B,JAG1,CAMK2B,MAP2K2,PRKCE,GP1BB,PRKAA2,ITPR1,RYR1,ITPR1,CAMK2B,DAXX,TUBA3D,LRP1,CREB3,MAP2K4,RPTOR,CREB3,NDUFB10,NCOA2,CAMK2B,CREB3,PRKAA2,SREBF1,NDUFA7,PPP3CB,CIITA,IKBKB,CIITA,MYH2,IKBKB,GNAO1,IKBKB,CREB3,GRIN2B,CAMK2B,CREB3,CTBP2,IKBKB,CREB3L1,INSR,TRAF3,CAMK2B,YES1,GNA13,GNAQ,NCF1,CAMK2B,MAP2K2,CCNB2,GNAO1,GNAQ,TJP1,PPP3CB,IKBKB,CAMK2B,IKBKB,CASP3,GRIN2A,GNAQ,NOTCH1,IKBKB,ITGB2,CREB3L1,TST
ITPR1,GRIN2B,MAP2K2,ITPR1,GRIN2D,NOS3,ITPR1,ITPR1,DAB2IP,MEF2C,PDE4D,ITPR1,ITGB3,NOS3,GNAI3,GNA13,GNAI3,MAP2K4,GRIN2A,GRM5,NDUFB10,PPP3CB,DAXX,RPS6KA3,MAP2K2,ITPR1,MAP2K2,IKBKB,CREB3L1,MAP2K2,CREB3,PRKAA2,DCC,MAP2K2,CCNB2,RIPK2,YES1,MAP2K4,IKBKB,MAP2K4,CREB3L1,GRIN2D,PRKCE,PRKAA2,CTBP1,SOCS2,GNAQ,ITGB3,TRAF5,CREB3,ACTN2,MAP2K2,TRPC1,ITGB3,PPP3CB,PRKCE,RPS6KA3,GRM5,ITPR1,IKBKB,MAP2K2,PRKAA2,MAP2K4,CASP10,ITGB2,GRIN3A,ITPR1,CTBP2,RIPK2,HBA2,CREB3L2,ETHE1
GNAI3,GRIN2D,MEF2B,DAB2IP,GRIN1,F2R,ITPR2,GNAI3,CFLAR,PRKAA2,F2R,ITPR2,F2R,INSR,ITPR2,GNAZ,ITPR2,MAP2K2,TOMM40,MAP2K2,ITPR1,PRKAA2,MEF2C,PRKAA2,NOS3,GRIN2B,NOTCH1,RPS6KA3,GNAQ,INSR,LIPE,NDUFB10,SEMA4C,TNFRSF10B,CCNB1,ITGB2,ACTN2,CREB3,MAP2K4,MAP2K2,GNAQ,GRIN1,GNAQ,CREB3L1,DCC,INSR,CREB3L2,F2R,TRIM25,MAP2K2,INSR,NOS3,CASP3,LAMP2,CTBP2,GNAQ,CCNB1,GNAQ,GNAI3,MAP2K4,FYN,LEPR,MAP2K2,TRAF3,GNAI3,GRIN2B,GNAI3,CTBP1,CARD6,CD36,DYNLL2,
ITPR2,GRIN1,NOS3,TNFRSF10B,CREB3,ITPR1,GRIN2B,GRIN2B,TNF,MAP2K2,GNAI3,CREB3,ITPR1,PRKCE,GRIN2B,MAP2K2,GNAO1,GNAQ,CASP3,GNAQ,ITPR2,PDHA1,MAP2K2,RRAGB,CREB3L1,GRIN1,MED30,MAP2K2,GNA11,MAPK10,PRKAA2,INSR,GNAI3,TNFRSF10A,PRKAA2,RFXANK,PRKCE,MAP2K2,GNAQ,TRAF3,CREB3L2,GNAO1,PRKCD,INSR,F2R,PRKCE,ITPR1,ITGB2,RIPK1,CREB3L1,FYN,PRKCE,ITPR1,ITGB2,CTBP1,GNA11,PPP3CB,ITPR1,ITPR2,CASP3,PAK3,CD36,PAK3,TRIM25,TICAM1,GRIN2D,ITPR2,MAML1,NLRC4,TNF,VAMP2,
GRIN2B,CREB3,INSR,ITPR2,GRIN3B,ITPR2,GRIN2D,GRIN2D,MAPK10,NOS3,ADRB2,LIPE,GNAI3,PRKCD,MAPK10,GNAQ,CREB3,GNA11,NOS1,GNA11,TNF,CREB3L1,NLK,DDIT4,GNAQ,CREB3,NOTCH4,RIPK2,CREB3L2,SOCS2,CREB3L1,TNF,PLXNB2,ADAR,MAP2K2,TNF,PRKCD,CASP10,GNA11,TOLLIP,GNAI3,CREB3,ITPR1,RB1CC1,GNAI3,PRKCD,ITPR2,GNAI3,CFLAR,GNAQ,BAIAP2,GNAQ,GNAI3,SEC61B,BTRC,PRKCD,ITPR1,GNAI3,ATP1B1,ATP6V1D,MAP2K7,TNF,MAP2K7,RIPK1,TNF,GRIN1,ADRB2,NOTCH4,TNF,,,
GRIN2D,GRM2,PRKCE,TNFRSF10A,PPP3CB,ADRB2,GRIN1,GRIN1,IKBKB,ITPR1,ATP1B1,CREB3L1,ITPR2,TNF,GNAO1,GNA11,CREB3L1,PRKCD,TNF,ITPR1,GRIN2B,GNAQ,TNF,RICTOR,CREB3L2,REST,NCOA3,NTRK3,ATP1B1,IKBKB,INSR,MAPK10,FYN,TICAM1,HOMER1,RHOA,EPB41L3,CREB3L1,GNAI3,RIPK1,ADRB2,GRIN3B,ITPR2,CREB3L2,RHOA,TNF,LRP2,GRIN2B,TICAM1,CREB3L2,NLK,GNAI3,ITPR2,CD36,NLK,ITPR1,ITPR2,ITPR2,CAMK2G,ATP6V0A1,TNF,PPARGC1A,CAMK2G,TNF,RHOA,,,,,,,
GRIN1,GRIN3B,ITPR1,CFLAR,GRIN2A,HTR2A,RPS6KA3,GNAO1,CREB3,GNAI3,GRIN2B,GNAQ,GP6,MAPK10,CREB3,ITPR1,GNAQ,ITPR1,GRIN2B,GNAI3,GRIN2D,CREB3L2,NFKB2,TNF,PRKCD,GRM5,ITGB3,PRKCD,CAMK2G,RPTOR,CREB3L2,IKBKB,PAK3,NXT2,BCL6,MAPK10,GNAI3,CASP3,CFLAR,TICAM1,ATP1B1,GRIN2A,HTR2A,PPARGC1A,NFKB2,,ATP1B1,RHOA,TNF,GNAI3,RHOA,FYN,GNB5,NOS1,CAMK2G,ITPR2,BTRC,GNB5,,,RHOA,,,,,,,,,,,
GNAO1,GRIN2A,GNAI3,TNF,GRIN3A,GRIN2D,PPP3CB,GRIN2A,TRAF3,ITPR2,RHOA,GNA11,MYL12A,IKBKB,GRIN2A,GNAI3,GNA11,ITPR2,GRIN2D,ITPR2,GRIN1,ITPR1,MAPK10,EIF4E,ITPR1,DLG4,ATP1B1,MATK,STX1A,LIPE,LEPR,NDUFS6,RHOA,TNF,INSR,PPP3CB,CASK,CREB3L2,TICAM1,MAP2K7,CACNG2,GRIN3A,CAMK2G,EIF4E,IKBKB,,,GRIN1,NFKB2,CAMK2G,,TNF,HTR2A,ATP6V1D,RHOA,RHOA,CAMK2G,,,,,,,,,,,,,,,
