Symbol	Description	Score	Functions	Links
TARDBP		0.8266399915127471	mRNA 3'-UTR binding, mRNA binding, mRNA stabilization, posttranscriptional regulation of gene expression, regulation of mRNA stability, regulation of RNA stability, RNA splicing, RNA stabilization, structure-specific DNA binding, viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23435
ATXN2		0.007411892340555948	cytoplasmic mRNA processing body assembly, cytoplasmic stress granule, posttranscriptional regulation of gene expression, regulation of translation, ribonucleoprotein complex assembly, ribonucleoprotein complex biogenesis, ribonucleoprotein complex subunit organization, ribonucleoprotein granule	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6311
PCBP1		0.0018970055751521553	mRNA processing, mRNA splicing, via spliceosome, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, single-stranded DNA binding, structure-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5093
HNRNPA1		0.001497036897886661	catalytic step 2 spliceosome, mRNA processing, mRNA splicing, via spliceosome, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, single-stranded DNA binding, single-stranded RNA binding, spliceosomal complex, structure-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3178
XRN2		0.0013940847056881367	RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=22803
ARHGEF28		0.0011988273460011856		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64283
UBC		0.0011470794499439663	multi-organism metabolic process, viral gene expression, viral life cycle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7316
KHDRBS2		0.001076622250148207		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=202559
ATIC		0.001075874375912389		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=471
IRAK2		0.001060747574599119		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3656
RALGAPB		0.0009386300677175496		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=57148
IRAK1		0.0008616805108140335		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3654
TIAL1		0.0008586216710800287	cytoplasmic stress granule, ribonucleoprotein granule	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7073
HNRNPH1		0.0008281155888072989	catalytic step 2 spliceosome, mRNA processing, mRNA splicing, via spliceosome, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, single-stranded RNA binding, spliceosomal complex	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3187
SYNCRIP		0.0008123945204066563	catalytic step 2 spliceosome, mRNA processing, mRNA splicing, via spliceosome, mRNA stabilization, negative regulation of translation, posttranscriptional regulation of gene expression, regulation of mRNA stability, regulation of RNA stability, regulation of translation, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, RNA stabilization, spliceosomal complex	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10492
NHP2L1		0.0007727920848483727	mRNA processing, mRNA splicing, via spliceosome, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, snoRNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4809
HNRNPR		0.0007556279594633786	catalytic step 2 spliceosome, mRNA processing, mRNA splicing, via spliceosome, RNA splicing, RNA splicing, via transesterification reactions, RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, spliceosomal complex	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10236
