Symbol	Description	Score	Functions	Links
NDUFS5		0.8150136029472719		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4725
RPL35A		0.7509432280822432	cellular protein complex disassembly, cotranslational protein targeting to membrane, cytosolic large ribosomal subunit, cytosolic part, cytosolic ribosome, establishment of protein localization to endoplasmic reticulum, establishment of protein localization to membrane, large ribosomal subunit, macromolecular complex disassembly, mRNA catabolic process, multi-organism metabolic process, ncRNA processing, nuclear-transcribed mRNA catabolic process, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, protein complex disassembly, protein localization to endoplasmic reticulum, protein localization to membrane, protein targeting, protein targeting to ER, protein targeting to membrane, ribonucleoprotein complex biogenesis, ribosomal subunit, ribosome, ribosome biogenesis, RNA catabolic process, rRNA metabolic process, rRNA processing, single-organism cellular localization, single-organism localization, SRP-dependent cotranslational protein targeting to membrane, structural constituent of ribosome, translational elongation, translational initiation, translational termination, viral gene expression, viral life cycle, viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6165
PLEKHB1		0.7393240031207104		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=58473
BBIP1		0.736438616441151		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=92482
RAB40B		0.7152796100079797		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10966
VPS13B		0.7133898644293661		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=157680
MPHOSPH9		0.6888869210969655		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10198
NKTR		0.6828314889713111		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4820
DCN		0.6827670542647437	extracellular matrix organization, extracellular structure organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1634
JAG1		0.6784723123230078		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=182
ZNF518A		0.6686645361619964		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9849
KPNA6		0.666906278861892	protein targeting	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23633
OTUB1		0.6576984575269613		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=101927673
PTPN13		0.6425692465961232		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5783
