,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for OPTN,Hsa2 MR for OPTN,Hsa3 MR for OPTN,Mcc MR for OPTN,Mmu MR for Optn,Mmu2 MR for Optn,Rno MR for Optn,Cfa MR for OPTN,Gga MR for OPTN,Dre MR for optn
0,OPTN,"optineurin",10133,3,0.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
1,KAT2B,"K(lysine) acetyltransferase 2B",8850,3,8.2,89.9 ,261.0 ,,613.5 ,5336.1 ,178.0 ,358.6 ,211.2 ,
2,NMT2,"N-myristoyltransferase 2",9397,2,9.4,69.7 ,1538.2 ,,4982.8 ,8024.1 ,5311.9 ,5140.6 ,7139.2 ,8263.9 
3,TNIP1,"TNFAIP3 interacting protein 1",10318,3,11.1,5.8 ,731.0 ,1096.9 ,2098.0 ,6543.6 ,216.6 ,1082.4 ,,
4,CCSER2,"coiled-coil serine-rich protein 2",54462,3,11.4,435.0 ,184.7 ,1513.5 ,3596.5 ,3914.8 ,4979.3 ,726.8 ,,
5,IL15RA,"interleukin 15 receptor, alpha",3601,3,19.9,316.0 ,3064.9 ,940.1 ,1286.0 ,1458.3 ,,59.9 ,,
6,CLIP4,"CAP-GLY domain containing linker protein family, member 4",79745,3,22.4,10.2 ,42.0 ,3284.6 ,3075.0 ,8636.1 ,3555.6 ,9010.1 ,1391.2 ,
7,TAP1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",6890,3,22.4,,643.0 ,680.9 ,6507.3 ,5634.9 ,3580.9 ,5007.1 ,6522.4 ,
8,PCGF5,"polycomb group ring finger 5",84333,3,27.6,99.6 ,123.1 ,,13901.7 ,2096.4 ,2061.8 ,3132.6 ,5007.5 ,131.8 
9,ARHGAP21,"Rho GTPase activating protein 21",57584,3,29.0,230.2 ,570.8 ,9752.2 ,4091.0 ,10330.2 ,1028.9 ,,3311.0 ,3974.0 
10,MAML2,"mastermind-like 2 (Drosophila)",84441,3,30.0,1335.4 ,405.6 ,6759.9 ,,,9948.4 ,10488.4 ,,
11,APOL3,"apolipoprotein L, 3",80833,3,33.6,81.8 ,256.3 ,,,,,,,
12,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",659,3,36.4,891.5 ,389.3 ,,8676.4 ,8922.5 ,3178.9 ,,4311.1 ,
13,IL15,"interleukin 15",3600,3,37.2,200.0 ,10049.3 ,877.0 ,809.9 ,3002.8 ,3733.2 ,2146.6 ,,
14,GBP1,"guanylate binding protein 1, interferon-inducible",2633,3,37.6,10.5 ,17.4 ,,,,,2524.8 ,11191.2 ,43.0 
15,DDX60,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 60",55601,3,39.8,62.5 ,146.6 ,2226.5 ,1324.6 ,3273.2 ,,1492.1 ,6080.3 ,
16,LOC283070,"uncharacterized LOC283070",283070,0,43.5,,7268.4 ,,,,,,,
17,PLSCR4,"phospholipid scramblase 4",57088,3,46.0,213.7 ,64.3 ,4460.9 ,2327.1 ,9066.1 ,,5677.9 ,,
18,IFIH1,"interferon induced with helicase C domain 1",64135,3,48.4,59.3 ,491.1 ,1016.1 ,727.9 ,970.9 ,930.2 ,662.8 ,812.9 ,
19,IL32,"interleukin 32",9235,3,48.5,98.8 ,161.2 ,,,,,,,
20,ENDOD1,"endonuclease domain containing 1",23052,3,50.5,100.3 ,270.8 ,1252.3 ,2302.6 ,3935.8 ,5330.3 ,2958.0 ,11415.4 ,
21,SP100,"SP100 nuclear antigen",6672,3,50.5,36.1 ,143.8 ,541.1 ,,,,137.6 ,,
22,IFIT5,"interferon-induced protein with tetratricopeptide repeats 5",24138,3,53.2,161.6 ,65.6 ,,,,,1781.8 ,681.8 ,
23,TMEM140,"transmembrane protein 140",55281,3,53.4,91.2 ,3916.0 ,113.3 ,28.6 ,389.7 ,405.7 ,3253.9 ,,
24,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",5292,3,54.5,2216.7 ,9769.6 ,2902.6 ,2112.4 ,6341.2 ,4384.2 ,570.2 ,,1096.9 
25,GBP2,"guanylate binding protein 2, interferon-inducible",2634,3,55.7,17.8 ,26.7 ,324.4 ,2051.3 ,2775.7 ,3796.9 ,,9753.1 12679.9 ,
26,CAST,"calpastatin",831,3,60.0,53.8 ,107.9 ,,40.4 ,390.5 ,70.6 ,2.0 ,10434.1 ,
27,CD59,"CD59 molecule, complement regulatory protein",966,3,61.4,76.0 ,10.1 ,,,3929.8 ,831.1 ,1270.5 ,,
28,SAMD9L,"sterile alpha motif domain containing 9-like",219285,3,62.6,35.5 ,109.2 ,1692.2 ,3051.5 ,2920.7 ,,591.8 ,5241.3 ,
29,HLA-E,"major histocompatibility complex, class I, E",3133,3,63.2,,108.4 ,2208.2 ,12688.0 ,10511.7 4577.0 ,1860.2 ,,,
30,IFI27,"interferon, alpha-inducible protein 27",3429,3,66.5,111.2 ,104.8 ,5503.2 ,,,,,,
31,HLA-A,"major histocompatibility complex, class I, A",3105,3,68.4,91.6 ,657.2 ,,5519.7 2639.2 1374.3 814.7 6292.7 ,5988.9 4420.1 4120.2 2946.0 1106.6 3213.5 1384.7 9660.7 6361.9 3785.6 4408.8 ,10075.8 7804.0 9337.0 3261.3 ,,9700.2 5497.9 ,3785.7 110.9 
32,HLA-F,"major histocompatibility complex, class I, F",3134,3,71.3,,1058.2 ,3932.4 ,,7082.3 5348.3 ,,1421.4 ,,
33,TRAK2,"trafficking protein, kinesin binding 2",66008,3,75.4,208.3 ,279.7 ,8992.1 ,2976.3 ,14965.6 ,2518.9 ,4879.4 ,9911.8 ,4788.7 
34,SAMD9,"sterile alpha motif domain containing 9",54809,3,75.7,60.1 ,202.4 ,,,,3101.1 ,,,
35,CLIC2,"chloride intracellular channel 2",1193,3,76.0,138.7 ,1226.8 ,1860.8 ,,,2866.9 ,333.3 ,4690.5 ,
36,PARP12,"poly (ADP-ribose) polymerase family, member 12",64761,3,76.7,191.0 ,2085.6 ,228.0 ,748.8 ,4556.2 ,2181.8 ,237.3 ,2365.7 ,
37,CYLD,"cylindromatosis (turban tumor syndrome)",1540,3,76.7,49.4 ,180.1 ,,5939.7 ,15149.5 ,567.8 ,175.0 ,11496.0 ,
38,RORA,"RAR-related orphan receptor A",6095,3,78.5,356.2 ,39.4 ,8221.2 ,1397.2 ,400.5 ,733.2 ,514.1 ,2881.6 ,
