GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 13:38:49 GMT 2016

Gene	Score	Description
PDCL3		phosducin-like 3 [Source:HGNC Symbol;Acc:28860]
MRPS17		mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:14047]
KLC1		kinesin light chain 1 [Source:HGNC Symbol;Acc:6387]
NDUFS5		NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7712]
POLR2M		polymerase (RNA) II (DNA directed) polypeptide M [Source:HGNC Symbol;Acc:14862]
ZNF506		zinc finger protein 506 [Source:HGNC Symbol;Acc:23780]
RPL35A		ribosomal protein L35a [Source:HGNC Symbol;Acc:10345]
C1orf61		chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:30780]
BBIP1		BBSome interacting protein 1 [Source:HGNC Symbol;Acc:28093]
VPS13B		vacuolar protein sorting 13 homolog B (yeast) [Source:HGNC Symbol;Acc:2183]
RNF130		ring finger protein 130 [Source:HGNC Symbol;Acc:18280]
SUN1		Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:18587]
PLEKHB1		pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]
CCDC93		coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:25611]
DST		dystonin [Source:HGNC Symbol;Acc:1090]
GULP1		GULP, engulfment adaptor PTB domain containing 1 [Source:HGNC Symbol;Acc:18649]
FAM120A		family with sequence similarity 120A [Source:HGNC Symbol;Acc:13247]
C6orf106		chromosome 6 open reading frame 106 [Source:HGNC Symbol;Acc:21215]
SNAPC5		small nuclear RNA activating complex, polypeptide 5, 19kDa [Source:HGNC Symbol;Acc:15484]
C14orf1		chromosome 14 open reading frame 1 [Source:HGNC Symbol;Acc:1187]
ORAI2		ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:21667]
MLH3		mutL homolog 3 [Source:HGNC Symbol;Acc:7128]
ATP5E		ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit [Source:HGNC Symbol;Acc:838]
ZNF518A		zinc finger protein 518A [Source:HGNC Symbol;Acc:29009]
RAB40B		RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:18284]
YLPM1		YLP motif containing 1 [Source:HGNC Symbol;Acc:17798]
MBNL2		muscleblind-like splicing regulator 2 [Source:HGNC Symbol;Acc:16746]
DMD		dystrophin [Source:HGNC Symbol;Acc:2928]
ALPK1		alpha-kinase 1 [Source:HGNC Symbol;Acc:20917]
ZNF24		zinc finger protein 24 [Source:HGNC Symbol;Acc:13032]
MPHOSPH9		M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]
HMOX2		heme oxygenase (decycling) 2 [Source:HGNC Symbol;Acc:5014]
TMEM43		transmembrane protein 43 [Source:HGNC Symbol;Acc:28472]
RAP1GDS1		RAP1, GTP-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:9859]
KPNA6		karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:6399]
PPFIA1		protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 [Source:HGNC Symbol;Acc:9245]
PCDH9		protocadherin 9 [Source:HGNC Symbol;Acc:8661]
ERGIC2		ERGIC and golgi 2 [Source:HGNC Symbol;Acc:30208]
NDUFC2		NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa [Source:HGNC Symbol;Acc:7706]
MGAT4A		mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A [Source:HGNC Symbol;Acc:7047]
CELF1		CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:2549]
NSFL1C		NSFL1 (p97) cofactor (p47) [Source:HGNC Symbol;Acc:15912]
SSBP3		single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:15674]
HCFC2		host cell factor C2 [Source:HGNC Symbol;Acc:24972]
JAG1		jagged 1 [Source:HGNC Symbol;Acc:6188]
MON2		MON2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29177]
RNF7		ring finger protein 7 [Source:HGNC Symbol;Acc:10070]
SEPT11		septin 11 [Source:HGNC Symbol;Acc:25589]
ZMYND11		zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]
NKTR		natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833]
SERF2		small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:10757]
STMN1		stathmin 1 [Source:HGNC Symbol;Acc:6510]
CLCN5		chloride channel, voltage-sensitive 5 [Source:HGNC Symbol;Acc:2023]
AHCTF1		AT hook containing transcription factor 1 [Source:HGNC Symbol;Acc:24618]
KDM6A		lysine (K)-specific demethylase 6A [Source:HGNC Symbol;Acc:12637]
