GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Jan 17 13:28:01 GMT 2017

Gene	Score	Description
SLC18A3		solute carrier family 18 (vesicular acetylcholine transporter), member 3 [Source:HGNC Symbol;Acc:10936]
UBQLN3		ubiquilin 3 [Source:HGNC Symbol;Acc:12510]
PON3		paraoxonase 3 [Source:HGNC Symbol;Acc:9206]
CHCHD10		coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:15559]
PVALB		parvalbumin [Source:HGNC Symbol;Acc:9704]
PGA4		pepsinogen 4, group I (pepsinogen A) [Source:HGNC Symbol;Acc:8886]
C4orf36		chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:28386]
ZNF470		zinc finger protein 470 [Source:HGNC Symbol;Acc:22220]
CDR1		cerebellar degeneration-related protein 1, 34kDa [Source:HGNC Symbol;Acc:1798]
PGA5		pepsinogen 5, group I (pepsinogen A) [Source:HGNC Symbol;Acc:8887]
PGA3		pepsinogen 3, group I (pepsinogen A) [Source:HGNC Symbol;Acc:8885]
SPG11		spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:11226]
PIGW		phosphatidylinositol glycan anchor biosynthesis, class W [Source:HGNC Symbol;Acc:23213]
TMEM106B		transmembrane protein 106B [Source:HGNC Symbol;Acc:22407]
C4BPB		complement component 4 binding protein, beta [Source:HGNC Symbol;Acc:1328]
C9orf72		chromosome 9 open reading frame 72 [Source:HGNC Symbol;Acc:28337]
C8A		complement component 8, alpha polypeptide [Source:HGNC Symbol;Acc:1352]
CFD		complement factor D (adipsin) [Source:HGNC Symbol;Acc:2771]
F13B		coagulation factor XIII, B polypeptide [Source:HGNC Symbol;Acc:3534]
C8G		complement component 8, gamma polypeptide [Source:HGNC Symbol;Acc:1354]
CHAT		choline O-acetyltransferase [Source:HGNC Symbol;Acc:1912]
SETX		senataxin [Source:HGNC Symbol;Acc:445]
SMN2		survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]
RNPEP		arginyl aminopeptidase (aminopeptidase B) [Source:HGNC Symbol;Acc:10078]
C3AR1		complement component 3a receptor 1 [Source:HGNC Symbol;Acc:1319]
C8B		complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:1353]
C1S		complement component 1, s subcomponent [Source:HGNC Symbol;Acc:1247]
C6		complement component 6 [Source:HGNC Symbol;Acc:1339]
F3		coagulation factor III (thromboplastin, tissue factor) [Source:HGNC Symbol;Acc:3541]
C7		complement component 7 [Source:HGNC Symbol;Acc:1346]
C9		complement component 9 [Source:HGNC Symbol;Acc:1358]
C1R		complement component 1, r subcomponent [Source:HGNC Symbol;Acc:1246]
CAMK1G		calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:14585]
MAOB		monoamine oxidase B [Source:HGNC Symbol;Acc:6834]
CFI		complement factor I [Source:HGNC Symbol;Acc:5394]
ALS2		amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]
SERPIND1		serpin peptidase inhibitor, clade D (heparin cofactor), member 1 [Source:HGNC Symbol;Acc:4838]
TPK1		thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:17358]
SLC33A1		solute carrier family 33 (acetyl-CoA transporter), member 1 [Source:HGNC Symbol;Acc:95]
PON2		paraoxonase 2 [Source:HGNC Symbol;Acc:9205]
TREM2		triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:17761]
HNRNPA1L2		heterogeneous nuclear ribonucleoprotein A1-like 2 [Source:HGNC Symbol;Acc:27067]
C5		complement component 5 [Source:HGNC Symbol;Acc:1331]
